event,index,q_true,q_pe_med,q_pe_05,q_pe_95,dq_med,dq_abs,q_width_90,q_true_minus_pe_med,dL_ratio_med,H0_sample_med,m1src_med,m2src_med,nsamp
event_0046,46,0.9598432105805557,0.8523510985766583,0.7591237001577649,0.9444008777458534,-0.10749211200389741,0.10749211200389741,0.18527717758808848,0.10749211200389741,0.8731341100669836,65.44111915664617,1.4990898979178304,1.278171348838236,4950
event_0047,47,0.8207729021899343,0.8979062528487368,0.7968043695586514,0.9825627431518063,0.07713335065880256,0.07713335065880256,0.18575837359315484,-0.07713335065880256,0.8087201194481044,66.050140543272,1.4822632578674226,1.32617545880618,5417
event_0048,48,0.8789581768587618,0.8942154232547136,0.7853461723220124,0.9832117820831917,0.015257246395951829,0.015257246395951829,0.19786560976117928,-0.015257246395951829,1.2113859934664883,45.22741570412557,1.519734819461337,1.343401834901118,5620
event_0049,49,0.9453629768952702,0.915009309153805,0.8209630684035729,0.9870601524235,-0.030353667741465196,0.030353667741465196,0.16609708401992707,0.030353667741465196,0.9477081805063002,51.81966445986434,1.5571509722713641,1.413356830240465,5202
event_0050,50,0.7891689756945378,0.7287212006590149,0.6667007669914481,0.8264874253660226,-0.0604477750355229,0.0604477750355229,0.1597866583745745,0.0604477750355229,0.9215105072329821,65.42989518456194,1.5751649991115888,1.1517789065211288,5240
event_0051,51,0.9939811713169538,0.9053799935102231,0.7828254145444669,0.9883612444845776,-0.08860117780673071,0.08860117780673071,0.20553582994011077,0.08860117780673071,1.8940014632727578,40.037268279360575,1.4720797316551042,1.313123928821265,5529
event_0052,52,0.9201797702043553,0.8981316420764172,0.7823194687686708,0.9860600501899042,-0.022048128127938105,0.022048128127938105,0.2037405814212334,0.022048128127938105,1.039976558857671,46.53112794275126,1.4312551332293277,1.27382188464435,6814
event_0053,53,0.9107884539146571,0.9062658452968678,0.8060510859628013,0.9859375050628096,-0.004522608617789303,0.004522608617789303,0.17988641910000835,0.004522608617789303,1.0003147620659734,51.104542481051844,1.4856190700482022,1.3347584424628662,6104
event_0054,54,0.9655447979462877,0.7137398892754536,0.6693757986057655,0.7711033076926714,-0.25180490867083405,0.25180490867083405,0.10172750908690598,0.25180490867083405,1.1513236376114884,53.20960880295036,1.6307524083951008,1.1635503754419383,5095
event_0055,55,0.8658687093521876,0.8018545232191445,0.722851143484593,0.9078259042405121,-0.0640141861330431,0.0640141861330431,0.18497476075591912,0.0640141861330431,1.3211381652949032,41.58620906007048,1.5525207329434987,1.2422645735555735,5851
event_0056,56,0.9458355492604831,0.9026568630133263,0.817836578558213,0.9816706480469892,-0.04317868624715682,0.04317868624715682,0.1638340694887762,0.04317868624715682,0.9919827650651525,46.854118539437955,1.4222439426735103,1.2791174420758542,5402
event_0057,57,0.9565372451290848,0.7286344677298766,0.6656272944891773,0.8408535290595444,-0.22790277739920817,0.22790277739920817,0.175226234570367,0.22790277739920817,0.9331619614076754,50.168657077975986,1.647149683259321,1.1988031207643672,5475
event_0058,58,0.8775559748360897,0.9007485961595681,0.7860090578967581,0.9855624647286689,0.023192621323478435,0.023192621323478435,0.1995534068319108,-0.023192621323478435,2.3120367258499286,34.923811496052544,1.239835207840005,1.105793803282434,5879
event_0059,59,0.873183960759202,0.8114961026201974,0.7544452103338628,0.8718008954164459,-0.06168785813900457,0.06168785813900457,0.1173556850825831,0.06168785813900457,0.8112109656356272,54.340305386575025,1.5000415024305394,1.2102245325338628,5729
event_0060,60,0.9464495050731777,0.7268448674337578,0.6695663616811323,0.8026615628722567,-0.21960463763941995,0.21960463763941995,0.1330952011911244,0.21960463763941995,1.1480097134980216,61.382145684425254,1.6046164232942601,1.1685398299771697,5410
event_0061,61,0.8265023104603191,0.6675935927748365,0.6203317276081571,0.7292226823655614,-0.15890871768548254,0.15890871768548254,0.10889095475740429,0.15890871768548254,1.1662559438352962,31.72327816270013,1.6550195489479433,1.1007288995069962,6313
event_0062,62,0.9640938173033395,0.9068026784961082,0.7880451828008875,0.9879705054137721,-0.05729113880723136,0.05729113880723136,0.19992532261288454,0.05729113880723136,1.3388387583466639,48.23071527843703,1.4348729098210589,1.286066911414534,5092
event_0063,63,0.9103063427098866,0.7855411139211917,0.7085813499934449,0.9078133617156288,-0.12476522878869489,0.12476522878869489,0.19923201172218385,0.12476522878869489,1.904157323011687,32.01304057502459,1.517145086194398,1.1931745903186055,5451
event_0064,64,0.9953838245729882,0.8413182883956158,0.74808961933867,0.9512739345652975,-0.1540655361773724,0.1540655361773724,0.2031843152266275,0.1540655361773724,1.1444538601344567,53.5593771804657,1.625795819325177,1.3463606271715416,5346
event_0065,65,0.8823826729222917,0.9046834807871814,0.8242944018051942,0.9805992815594988,0.02230080786488975,0.02230080786488975,0.15630487975430463,-0.02230080786488975,1.0140672148422623,63.90459236254259,1.387524974028177,1.2515840977758526,5081
event_0066,66,0.9131727485900075,0.869268870534569,0.7768840209266342,0.9692323506941858,-0.043903878055438494,0.043903878055438494,0.19234832976755156,0.043903878055438494,0.9927356096955988,48.91299452226038,1.511006676524266,1.3086151289290557,4944
event_0067,67,0.9767816104815226,0.9147157062616743,0.8051832784256523,0.989715091831888,-0.062065904219848256,0.062065904219848256,0.1845318134062357,0.062065904219848256,1.506857435882624,46.673458176845294,1.481117755438978,1.3338750211865598,5309
event_0068,68,0.9805676030625353,0.9149355410018101,0.8254658317545324,0.9853832007985006,-0.06563206206072525,0.06563206206072525,0.15991736904396825,0.06563206206072525,0.9257276599611343,62.37710979980868,1.4485974558590247,1.3157349430610192,5185
event_0069,69,0.8692957000847129,0.8211259368559038,0.7283011763916797,0.9298401732878787,-0.04816976322880906,0.04816976322880906,0.20153899689619903,0.04816976322880906,1.0930459388850855,54.15732038901818,1.5221783816878494,1.2456319488778105,5706
event_0070,70,0.9963952293335846,0.9194466165447229,0.8181946636676454,0.9897745935593075,-0.07694861278886167,0.07694861278886167,0.17157992989166215,0.07694861278886167,0.8615630725608215,64.74413659585919,1.5736389730410734,1.4276911707085655,5345
event_0071,71,0.8842138591401685,0.9154701435997555,0.7989782035617998,0.9912233187061456,0.03125628445958706,0.03125628445958706,0.19224511514434572,-0.03125628445958706,1.0207504030362666,55.68860592411794,1.3546349570481682,1.232704252572554,5702
event_0072,72,0.9253508100365611,0.7390311103519116,0.6865939873346603,0.8034539644079832,-0.18631969968464945,0.18631969968464945,0.11685997707332296,0.18631969968464945,1.106016782371332,49.71865875440797,1.621456439150845,1.1963907403232912,5039
event_0073,73,0.8928204038113754,0.934253035222127,0.8341127420982314,0.9922147854573036,0.0414326314107516,0.0414326314107516,0.1581020433590722,-0.0414326314107516,1.1443917211839072,41.23193211363591,1.4873785268825697,1.3726261286398675,5284
