event,chirp_mass,mass_ratio,mass_1_detector,mass_2_detector,luminosity_distance,redshift_sample,H0_sample,theta_jn,lambda_1,lambda_2,lambda_tilde,delta_a0,delta_a1,delta_a2
event_0018,0.32004006931531875,0.2577907645002436,0.7422092354997565,0.25759809454832505,0.5337810586623626,0.6251988853333678,0.6028316961264963,0.49043455235885025,0.15860769092198432,0.5318114641322941,0.12781178441391228,0.5151494066219369,0.40855142314205617,0.558863275541273
event_0019,0.042078695420198126,0.5665033113604787,0.4331086932591242,0.5665033113604787,0.2640598990489311,0.5497017819909746,0.6060132774947143,0.7110448284660865,0.429621089836243,0.2858925105012396,0.3498275788180738,0.5284960545157378,0.4494880099903577,0.5421423561315726
event_0020,0.8900643792398082,0.09643467965802698,0.903565320341973,0.09643467965802698,0.5752514304405212,0.6244532334570214,0.5913160336845857,0.5370720670762337,0.23101362758006713,0.9502175887117572,0.7731592011029227,0.5095596539760539,0.48755766190680905,0.49883186284522285
event_0021,0.5568604895983936,0.8082485887682911,0.1917514112317089,0.8082485887682911,0.032168885963480484,0.6478615006717132,0.7812609630981088,0.029930324606683913,0.8601218352301864,0.39179935195959903,0.7947328704759793,0.48828204709652,0.45564216071150165,0.5020617240044521
event_0022,0.7277656736548026,0.6395731705923415,0.3604268294076586,0.6395731705923415,0.001567244616985114,0.4786514080973711,0.7788932124246699,0.9982277310500258,0.8258127895167423,0.5622298215026101,0.8816997305245904,0.47202479467018976,0.6036196229634634,0.5014347150864508
event_0023,0.024226902581011452,0.7920028300602873,0.20799716993971257,0.7920028300602873,0.01890881104142627,0.6310813283110532,0.7405947937638229,0.018120950153820592,0.6326567187165497,0.12290742192786897,0.05022657759273075,0.5333858181893073,0.4628717438650741,0.5335827555476859
event_0024,0.4207708580255748,0.8491690265160443,0.1510328647056664,0.8491690265160443,0.34888241508978857,0.6077142585981643,0.6299211416197881,0.3353541814134404,0.9321644580147164,0.28934226427931653,0.9129848609079745,0.5037323556514507,0.4722413981149549,0.47163568168111347
event_0025,0.11044789072516864,0.6376747675614617,0.3618304509099464,0.6375098414814137,0.1566537307983715,0.6154775332065221,0.6979330401658557,0.0043013702508002405,0.5209646350144694,0.31126396750719737,0.48394304291851276,0.5300118039551611,0.42444240546187856,0.5385644024667144
event_0026,0.6176172605064252,0.4574193880220472,0.5425806119779528,0.4572601725457581,0.003034166016903037,0.6417188296323804,0.856577556854963,0.0,0.5919071406429857,0.7035371484702748,0.813394536034181,0.4643102641741641,0.5231189121973362,0.5534212160137987
event_0027,0.07675939958008657,0.9889241828183458,0.011075817181654127,0.9889241828183458,0.3122666086703948,0.5960880396941506,0.6385637863464506,0.46348944136482023,0.9443594397608229,0.03735263588814511,0.6668992522779525,0.47288311678333983,0.5031122399564264,0.5049650758577987
