event,n_samples,frac_in_support,ess_base_fullL,ess_new_reweighted,ess_new_frac
event_0025,6060,0.5498349834983498,6054.827273717986,2184.1024358358754,0.36041294320724016
event_0026,6287,0.6839510100206776,6283.003419926036,2750.6786871883346,0.43751848054530534
event_0027,5373,0.4384887399962777,5372.775552836762,409.4504927606795,0.07620519128246407
event_0028,5114,0.030895580758701604,5109.328729235963,81.94172884432581,0.0160230208925158
event_0029,4811,0.9987528580336729,4809.7834993443275,3607.643995320956,0.749874037688829
event_0030,5640,0.7558510638297873,5639.999999687427,1903.1933791777383,0.337445634605982
event_0031,5187,1.0,5186.999959207464,3916.3552904738967,0.7550328302436662
event_0032,5522,1.0,5521.992342090282,4311.156419647975,0.78072372684679
event_0033,4942,0.2179279643868879,4941.682590853469,800.6097520523418,0.16200116391184577
event_0034,5540,0.73971119133574,5539.999999597221,2802.444796094026,0.5058564613888133
event_0035,5650,0.4814159292035398,5647.035948065568,2099.241432577138,0.371547156208343
event_0036,5810,0.6411359724612736,5700.398906155284,1516.7652339406893,0.26106114181423223
event_0037,5445,0.9774104683195592,5444.426151513965,2371.552147387326,0.43554676719693775
event_0038,4871,0.8078423321699856,4870.999999428348,3157.63430373426,0.6482517560530199
event_0039,5097,0.15852462232685893,5096.969630015766,116.35290002449568,0.02282772219432915
event_0040,5144,1.0,5143.999847433493,4270.245518854973,0.830141041768074
event_0041,5004,1.0,5003.997129456772,2032.630488111678,0.4062011367129652
event_0042,5358,0.9998133631952221,5357.2405142285115,1868.2355831325588,0.34868151980824164
event_0043,5841,0.2508132169149118,5833.940642944135,1165.6469843852994,0.1995629146353877
event_0044,5470,0.3488117001828154,5465.211636923355,980.6503984112665,0.17927795217756243
event_0045,5424,0.9810103244837758,5423.998256130592,2505.580355871463,0.46194328094975345
event_0046,4950,1.0,4949.999999768875,2673.796045326496,0.540160817237676
event_0047,5422,0.9291774253043158,5417.465301528123,3294.4061863779116,0.6075998130538384
event_0048,5716,0.7127361791462561,5620.165321512711,2694.204661101101,0.471344412368982
event_0049,5202,1.0,5201.995041572022,3552.5189763693334,0.6829140669683456
event_0050,5240,0.8835877862595419,5239.965652684165,664.6692619235915,0.1268452789930518
event_0051,5530,0.1318264014466546,5529.066674484919,563.1320397572387,0.10183219525447354
event_0052,6815,0.9932501834189288,6813.831615493854,4688.812173570467,0.6880135251020495
event_0053,6107,0.9998362534796136,6103.596731223564,4621.516905644495,0.7567573122064016
event_0054,5095,0.9181550539744848,5094.999999926281,472.16357057453297,0.09267194711963356
event_0055,5851,0.0710989574431721,5850.989012025452,131.52593852436877,0.022479223812060977
event_0056,5402,0.9998148833765272,5401.866945694685,4244.826861746963,0.7857880158731883
event_0057,5489,0.5828019675715066,5475.383011379703,371.5302582014331,0.06768632869401223
event_0058,6251,0.009598464245720684,5879.290473002226,41.06391332575357,0.006569175064110313
event_0059,5729,1.0,5728.996761957749,3001.8342407941527,0.5239717648445021
event_0060,5410,0.9689463955637708,5409.857470130005,933.6398640027162,0.17257668465854273
event_0061,6313,0.0001584032947885316,6312.635128377708,1.0,0.0001584032947885316
event_0062,5141,0.45827659988329117,5092.0662084929045,1686.6130813940297,0.32807101369267255
event_0063,5452,0.010638297872340425,5450.858877963475,39.080085731371604,0.007168027463567792
event_0064,5358,0.7683837252706234,5346.0238121593875,1383.3602875266567,0.2581859439206153
event_0065,5081,1.0,5080.941899299126,4161.052285426502,0.8189435712313524
event_0066,4947,0.9799878714372346,4944.359452483465,2996.453476971343,0.6057112344797541
event_0067,5346,0.9910213243546577,5309.196434018836,4078.795681076275,0.7629621550834783
