event,chirp_mass,mass_ratio,mass_1_detector,mass_2_detector,luminosity_distance,theta_jn,redshift_sample,H0_sample,lambda_1,lambda_2,lambda_tilde,delta_a0,delta_a1,delta_a2
event_0052,0.36514575618326417,0.3855212335456441,0.6144787664543558,0.3855212335456441,0.3166435788127071,0.5801664890288839,0.6752079109996244,0.693684126484979,0.5022488179385831,0.7051341344318344,0.6794298368852845,0.4766515949362452,0.4488445425561123,0.5357710509193201
event_0053,0.5890980554042957,0.2878435931857701,0.7121564068142299,0.2878435931857701,0.5246722274791498,0.46299313966450384,0.6495021871043795,0.654326091514086,0.47408168254750754,0.8269166121834979,0.8080176392193593,0.49210561250997364,0.4818053310367575,0.5127776702471839
event_0054,0.0,0.9999999999999999,0.0,0.9999999999999999,0.11012306093571025,0.07877911917477046,0.5344392456869019,0.6298047270608943,0.9999999999999999,0.0,0.9396552975406576,0.46152834982366775,0.5807315186727451,0.49032317375314277
event_0055,0.39052253904468426,0.6171890372001178,0.38281096279988225,0.6171890372001178,0.017149718149006492,0.8736842253176818,0.7428725867927448,0.8205931691987425,0.2839307296053039,0.3173780749439893,0.10975047761730766,0.6404392562181564,0.5274508426938815,0.6547972519359373
event_0056,0.9568122357827586,0.6494056529090408,0.35059434709095927,0.6495275287314115,0.6064190270516467,0.9719825620859288,0.762755236814744,0.7485661957385867,0.945593658670527,0.7776934323349932,0.9758472976350305,0.5212322058706362,0.47253967439390726,0.5014261458830973
event_0057,0.33455626101833413,0.9593949178021414,0.040605082197858765,0.9593949178021414,0.9983245288694054,0.0,0.8811405755900171,0.7681026824299289,0.9440262783573774,0.4481174438060309,0.8003506525594053,0.4726361426217504,0.41798174464405724,0.523550986586403
event_0058,0.6175292969339973,0.0,1.0,0.0,0.0,0.8110797478536387,0.618056305080511,0.7181863005228353,0.3592771046835552,0.9629342674342456,0.5566224455932138,0.4830543701161828,0.5580315653793009,0.43528001045349
event_0059,0.32729989250464964,0.8129066850724473,0.18709331492755282,0.8129066850724473,0.9805513790481845,0.00015936202300369657,0.7256840005186589,0.5883955388224813,0.7570732574801593,0.24873900898291731,0.6705958351585424,0.4970517758707586,0.4009063396835444,0.5349953838870485
event_0060,0.0024975206448455494,0.9999999999999999,0.0,0.9999999999999999,0.09755605392138467,0.0,0.44730113256331094,0.54324659366194,0.8914529792181234,0.0017224739768600759,0.43408409865671926,0.5435603518942891,0.52647611330105,0.521304887283604
event_0061,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
